CityName,Area,GreenAreaPerPers,Polycentricity,PopulationInCore,#Gov,#GovInCore,Population,Latitude,Longitude,GDP
Toyohashi,764.3,30.76,1,85.73,7,3,377045,34.762811,137.381651,25835.73
Indianapolis,6929.77,967.54,1,52.06,138,24,843393,39.7767,-86.1459,110044.79
Gothenburg,3850.19,292.17,1,56.15,12,1,549839,57.70887,11.97456,36712.77
Veracruz,1056.65,517.33,1,87.32,5,2,428323,19.200512,-96.138038,10163.44
Philadelphia,4326.91,372.98,1,100.0,202,202,1553165,40.0094,-75.1333,237781.18
Toluca,2190.89,197.12,1,72.21,15,5,489333,19.432608,-99.133208,21557.65
Cologne,1971.56,70.32,1,59.58,25,2,1034175,50.9383611,6.9599738,91380.03
Monterrey,10984.38,41.65,1,78.11,20,7,1135512,25.592172,-99.996195,116041.27
El Paso,14467.58,3.5,1,99.59,7,6,674433,31.8484,-106.427,26091.28
Palermo,835.58,44.52,1,69.03,25,1,686722,38.115688,13.361267,20795.05
Cardiff,736.87,162.72,1,54.17,5,1,315474,51.481581,-3.17909,20212.78
San Diego,11028.58,10.35,1,100.0,18,18,1355896,32.8153,-117.135,183778.55
Antwerp,1169.26,306.34,1,46.97,32,1,457749,51.219448,4.402464,49311.67
Barcelona,1362.03,2.29,3,75.6,75,13,465989,10.144569,-64.67768,135803.15
Dresden,1716.19,508.28,1,63.31,41,1,530754,51.0493286,13.7381437,26969.13
Chihuahua,8861.48,2.13,1,98.43,2,1,809232,28.636218,-106.094147,12356.24
Milan,2637.77,22.4,1,74.54,252,115,1347298,45.465422,9.185924,234523.98
Pittsburgh,1928.85,628.13,1,100.0,128,128,305841,40.4398,-79.9766,83562.74
Brisbane,15441.89,509.14,2,72.46,236,163,2099328,-27.471011,153.023449,90572.54
Bratislava,2600.66,444.53,1,59.27,136,17,431061,48.145892,17.107137,40168.17
Kansas City,19095.39,4132.96,1,90.19,217,29,148483,39.1225,-94.7418,109690.59
Athens,1656.14,0.97,1,76.82,94,49,119980,33.9496,-83.3701,125724.3
Tokyo,8592.12,4.56,1,93.66,235,170,8637098,35.681382,139.766084,1475630.28
Valencia,1474.97,14.28,1,48.49,56,1,181556,7.9,125.083333,45865.8
Ghent,1017.36,724.71,1,42.99,24,1,248242,51.054342,3.717424,20982.94
Pohang,814.95,99.8,1,65.3,27,15,517322,36.019018,129.343481,19602.34
Duisburg,671.31,127.96,1,72.87,9,2,486855,51.44620175,6.74207596814,32928.89
Kumamoto,813.83,23.47,1,72.32,14,2,670348,32.790065,130.689401,28135.98
Takamatsu,598.83,15.72,1,71.67,10,1,418557,34.218664,134.01882,19828.43
Leipzig,2121.96,366.33,1,62.15,62,1,531562,51.3391827,12.3810549,27933.06
Perth,6309.49,38.66,1,73.54,173,111,1834184,-31.953513,115.857047,124116.87
Omaha,11411.74,702.49,1,59.41,108,7,434353,41.2647,-96.0419,50773.47
Rennes,3815.73,475.77,2,57.82,190,37,207178,48.117266,-1.677793,24768.93
Washington,16605.51,973.99,1,86.0,91,60,646449,38.9041,-77.0171,442758.65
Katowice,3920.33,337.07,1,56.16,60,8,321616,50.264892,19.023782,64791.18
Irapuato,843.86,203.87,1,100.0,1,1,380941,20.678665,-101.354496,6808.46
Nantes,3143.52,566.3,1,65.93,108,24,284970,47.218371,-1.553621,32996.1
Tampa,2819.26,425.12,1,100.0,3,3,352957,27.9701,-82.4797,65902.91
Portsmouth,428.6,88.83,2,89.54,3,2,187056,50.816667,-1.083333,22443.06
Sapporo,2174.93,166.29,1,93.38,15,11,1904319,43.06208,141.354361,67191.66
Detroit,5244.45,551.67,1,100.0,131,131,688701,42.383,-83.1022,199259.3
Charleston,7361.17,421.31,1,51.2,27,16,127999,32.8179,-79.9589,30466.78
Gold Coast-Tweed Heads,1811.08,193.87,1,55.45,47,26,592389,-27.923641,153.207254,22320.95
New York,9882.07,39.39,2,97.47,356,323,8405837,40.6643,-73.9385,1215233.96
Hermosillo,16926.97,26.41,1,100.0,1,1,715061,29.078336,-110.95273,15857.01
Xalapa,1313.03,448.98,1,62.11,11,1,424755,19.173773,-96.134224,9489.95
Cheongju,578.93,83.67,1,87.96,39,28,662852,36.642434,127.489032,25099.32
Columbus,11491.61,1616.79,1,79.64,205,42,202824,32.5102,-84.8749,104677.93
New Orleans,12510.83,207.63,1,76.04,18,7,378715,30.0686,-89.939,79326.81
Baltimore,3730.13,971.67,1,87.17,6,3,622104,39.3002,-76.6105,114729.25
Mito,644.15,69.42,1,45.76,7,1,264062,36.371091,140.476207,21387.43
Yokkaichi,433.2,26.56,1,55.87,5,2,306584,34.963085,136.629654,21023.94
Nagano,1241.81,255.33,1,69.89,10,1,378204,36.658992,138.187705,17716.81
Leeds,1726.0,172.56,1,91.77,3,2,751500,53.800755,-1.549077,43220.65
Jeonju,503.06,40.92,1,89.98,39,32,647504,35.824224,127.147953,18729.37
Raleigh,5562.72,1424.99,1,80.06,27,12,431746,35.8302,-78.6414,60753.56
London,6920.87,35.16,6,80.17,47,40,366191,42.98695,-81.243177,652583.23
Augsburg,1803.5,736.79,1,45.53,66,1,276542,48.3668041,10.8986971,25205.45
Providence,1665.12,122.84,1,94.13,24,21,177994,41.8231,-71.4188,39870.34
Albuquerque,24079.87,63.22,1,74.02,17,3,556495,35.1056,-106.6474,39751.95
Buffalo,4111.52,2353.84,1,80.83,63,43,258959,42.8925,-78.8597,48685.82
Daejeon,995.6,29.71,1,95.33,87,74,1518651,36.350412,127.384548,39331.61
Zaragoza,11890.63,52.95,1,79.8,210,1,620419,41.648823,-0.889085,28593.72
Madison,5268.07,4702.53,1,89.77,93,59,243344,43.0878,-89.4301,37093.54
Graz,3074.2,871.29,1,43.95,174,1,250099,47.070714,15.439504,26748.62
Bochum,319.87,28.62,2,79.92,4,2,361734,51.482321,7.2187465,23294.48
Freiburg im Breisgau,1515.07,580.87,1,40.71,58,1,220286,47.9960901,7.8494005,22102.97
Shizuoka,1171.16,12.91,1,97.22,5,3,710944,34.97171,138.38884,27677.6
Vienna,9093.06,221.99,1,64.06,313,1,1731236,48.208174,16.373819,129515.54
Bari,754.98,0.74,1,54.09,17,1,320475,41.117143,16.871871,14349.14
Bremen,3176.34,1421.46,1,53.17,61,1,548547,53.0758099,8.80717,44593.76
Orlando,10390.36,416.9,1,72.13,22,13,255483,28.4159,-81.2988,102402.59
Des Moines,9020.15,4685.52,1,70.56,70,17,207510,41.5739,-93.6167,40569.11
