,0,1
0,5,5
1,2,2
2,1,0
3,0,0
4,3,3
5,0,0
6,2,2
7,0,0
8,3,3
9,1,1
10,0,0
11,4,4
12,1,5
13,0,0
14,0,0
15,1,1
16,1,1
17,0,0
18,0,0
19,0,0
20,1,1
21,0,0
22,1,5
23,0,0
24,0,0
25,1,1
26,4,4
27,0,0
28,0,0
29,0,0
30,1,1
31,3,3
32,1,1
33,0,1
34,2,0
35,0,0
36,0,0
37,0,0
38,0,0
39,9,9
40,0,0
41,0,0
42,0,0
43,2,2
44,0,0
45,0,0
46,5,5
47,0,0
48,0,0
49,1,0
50,0,0
51,1,0
52,0,0
53,1,1
54,1,1
55,1,1
56,0,0
57,0,0
58,1,1
59,4,4
60,0,0
61,2,2
62,0,0
63,3,3
64,0,0
65,0,0
66,2,2
67,0,0
68,1,1
69,0,0
70,1,1
71,0,0
72,0,0
73,0,0
74,0,0
75,2,2
76,0,0
77,2,2
78,0,1
79,0,0
80,0,0
81,2,2
82,3,3
83,0,0
84,0,0
85,0,0
86,9,9
87,9,9
88,0,0
89,1,1
90,0,0
91,9,9
92,0,0
93,1,1
94,1,1
95,1,1
96,2,0
97,0,9
98,0,0
99,1,1
100,1,7
101,3,3
102,9,9
103,1,1
104,5,5
105,0,0
106,0,0
107,1,1
108,0,0
109,1,1
110,0,0
111,3,3
112,1,1
113,0,1
114,0,0
115,0,1
116,3,3
117,0,0
118,0,0
119,0,0
120,0,0
121,1,1
122,0,0
123,1,1
124,0,0
125,0,0
126,2,2
127,1,1
128,0,1
129,0,0
130,0,0
131,1,1
132,9,9
133,0,0
134,2,2
135,5,3
136,0,0
137,0,1
138,0,0
139,0,0
140,2,2
141,1,1
142,0,0
143,2,2
144,1,1
145,1,1
146,1,1
147,0,0
148,3,3
149,0,0
150,3,3
151,0,1
152,0,0
153,0,0
154,1,1
155,2,2
156,2,2
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,1,1
164,1,1
165,3,0
166,0,0
167,1,1
168,7,0
169,9,9
170,0,0
171,2,2
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,3,3
178,2,2
179,0,0
180,0,0
181,0,0
182,0,0
183,1,1
184,1,1
185,0,0
186,0,0
187,0,0
188,1,1
189,0,1
190,5,5
191,4,4
192,1,1
193,0,7
194,7,7
195,0,0
196,2,0
197,0,0
198,1,1
199,9,9
200,2,2
201,0,0
202,0,0
203,0,0
204,3,3
205,0,0
206,1,1
207,0,0
208,3,3
209,0,0
210,1,1
211,0,0
212,1,1
213,0,0
214,0,0
215,0,0
216,9,9
217,7,7
218,0,0
219,2,2
220,5,5
221,1,1
222,0,0
223,1,1
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,1
230,1,1
231,1,1
232,0,0
233,1,1
234,1,1
235,1,1
236,2,2
237,1,1
238,0,0
239,1,1
240,1,1
241,0,0
242,2,2
243,7,0
244,1,1
245,0,0
246,0,0
247,0,0
248,1,0
249,1,1
250,0,0
251,3,3
252,1,1
253,2,2
254,0,2
255,0,0
256,1,1
257,3,3
258,6,6
259,0,0
260,2,2
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,1,1
267,2,2
268,0,0
269,0,0
270,0,0
271,9,9
272,0,0
273,0,0
274,9,9
275,1,1
276,4,1
277,0,0
278,1,1
279,0,0
280,0,0
281,0,0
282,0,3
283,0,0
284,4,7
285,1,1
286,5,5
287,1,1
288,0,0
289,1,1
290,0,0
291,0,0
292,1,1
293,5,5
294,1,1
295,0,0
296,0,0
297,1,1
298,9,9
299,2,2
300,0,0
301,1,1
302,2,2
303,1,1
304,0,0
305,2,2
306,1,1
307,5,5
308,0,0
309,0,0
310,1,1
311,1,1
312,9,9
313,2,2
314,0,0
315,9,9
316,0,0
317,0,0
318,5,5
319,0,0
320,5,5
321,0,0
322,0,0
323,4,4
324,1,1
325,2,2
326,0,0
327,0,0
328,0,0
329,9,9
330,5,5
331,1,1
332,1,1
333,1,1
334,0,0
335,0,0
336,0,0
337,7,1
338,0,0
339,0,0
340,1,1
341,1,1
342,0,0
343,0,0
344,1,1
345,1,1
346,1,1
347,0,0
348,0,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,0,0
355,4,4
356,0,0
357,2,2
358,2,2
359,1,1
360,1,1
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,9
370,3,3
371,4,4
372,1,1
373,0,0
374,5,5
375,5,5
376,0,0
377,3,3
378,0,1
379,3,3
380,9,9
381,0,0
382,3,3
383,1,1
384,1,1
385,0,0
386,1,1
387,2,0
388,1,1
389,1,1
390,0,0
391,0,1
392,9,9
393,0,0
394,0,0
395,3,3
396,0,0
397,1,1
398,0,0
399,0,0
